Instance Name;Score;Cluster num;Total Distance;TMAX;Runtime;Path;Cluster Function type;Gen
11berlin52_T80_p1.sop;17.68813372749185;11;3128.577242980212;3232;29.757163286209106;[22, 23, 50, 20, 29, 30, 7, 42, 21, 31, 18, 17, 3, 8, 41, 19, 45, 32, 49];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];400
14st70_T40_p2.sop;627.0000000000003;14;120.8512942487535;126;27.666712045669556;[38, 22, 63, 66, 59, 35, 69, 31, 70, 29, 13, 23, 36];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];300
11berlin52_T60_p1.sop;13.608049904439941;11;2303.6258500175486;2424;28.91745924949646;[50, 20, 29, 30, 23, 21, 31, 18, 41, 8, 19, 45, 49, 32, 22];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];400
11berlin52_T40_p1.sop;10.667941081979794;11;1552.4742528012873;1616;29.120137929916382;[22, 50, 20, 23, 31, 18, 3, 41, 8, 19, 45, 49];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];400
11berlin52_T60_p2.sop;342.26433752247385;11;2423.4939521648075;2424;17.02669095993042;[26, 27, 28, 12, 43, 45, 18, 31];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];200
11berlin52_T40_p2.sop;211.8502383475227;11;1466.8303091168887;1616;17.424586057662964;[42, 2, 7, 21, 31, 18];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];200
14st70_T40_p1.sop;12.75474716707489;14;124.05640183728262;126;35.47459936141968;[29, 13, 70, 31, 69, 59, 22, 63, 38, 23, 47, 37, 58, 36];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];400
14st70_T40_p2.sop;477.4558639271771;14;118.14173129430404;126;19.6889431476593;[36, 16, 37, 58, 47, 23, 29, 13, 31, 69, 35, 70];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];200
11berlin52_T80_p2.sop;727.9776166479941;11;3102.085756122983;3232;34.17867660522461;[31, 17, 3, 18, 32, 22, 42, 2, 7, 21, 30, 29, 50, 20, 23];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];400
11berlin52_T40_p1.sop;10.667941081979794;11;1491.147271923449;1616;22.52691125869751;[49, 32, 45, 19, 8, 41, 3, 18, 31, 23, 20, 50];['exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential', 'exponential'];300
